,Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
259,02/17/1981,16:53:14,-23.09,39.479,Earthquake,33.0,,,5.7,MS,,1.0,,,,1.0,USP0001C87,US,US,US,Reviewed
260,03/25/1981,05:28:15,-48.138000000000005,-9.919,Earthquake,10.0,,,5.6,MS,,1.0,,,,1.0,USP0001CVP,US,US,US,Reviewed
261,05/25/1981,04:59:57,68.205,53.656000000000006,Nuclear Explosion,0.0,,,5.5,MB,,82.0,,,,0.9,USP0001DV0,US,US,US,Reviewed
262,11/05/1988,02:14:30,34.354,91.88,Earthquake,7.6,,,6.2,MW,,,,,,1.2,USP0003NJ5,US,US,HRV,Reviewed
263,09/24/1981,21:09:43,-45.653,79.86399999999999,Earthquake,33.0,,,5.5,MS,,3.0,,,,1.1,USP0001G2U,US,US,US,Reviewed
264,09/30/1981,23:03:48,-4.798,-112.008,Earthquake,10.0,,,5.9,MB,,36.0,,,,1.0,USP0001G7G,US,US,US,Reviewed
265,11/08/1981,21:56:11,61.809,153.666,Earthquake,33.0,,,5.6,MB,,76.0,,,,0.9,USP0001GVQ,US,US,US,Reviewed
266,11/18/1981,09:17:30,-2.282,22.813000000000002,Earthquake,7.0,,,5.8,MB,,51.0,,,,1.0,USP0001H12,US,US,US,Reviewed
267,04/18/1996,00:01:18,-16.107,87.279,Earthquake,10.0,,,5.5,MWC,,,,,,1.0,USP0007GA5,US,US,HRV,Reviewed
268,12/12/1981,23:31:11,4.888,70.145,Earthquake,20.0,,,5.5,MB,,44.0,,,,1.0,USP0001HCV,US,US,US,Reviewed
269,01/07/1982,08:42:51,-3.387,177.56900000000002,Earthquake,33.0,,,5.8,MB,,38.0,,,,1.1,USP0001HXC,US,US,US,Reviewed
270,01/09/1982,12:53:52,46.983999999999995,-66.656,Earthquake,10.1,,,5.7,MB,,49.0,,,,,USP0001HYM,US,SPE,US,Reviewed
271,03/22/1982,06:04:11,6.65,175.06400000000002,Earthquake,33.0,,,5.6,MB,,30.0,,,,0.9,USP0001K93,US,US,US,Reviewed
272,02/20/2008,12:11:21,-52.917,-46.492,Earthquake,10.0,,32.0,5.5,MB,,5.0,86.9,,,1.07,USP000FZBJ,US,US,US,Reviewed
273,07/01/1985,02:23:52,18.367,87.18799999999999,Earthquake,10.0,,,5.5,MW,,,,,,1.0,USP0002GA5,US,US,HRV,Reviewed
274,05/09/1982,10:00:57,-10.734000000000002,94.507,Earthquake,10.0,,,5.5,MB,,4.0,,,,1.0,USP0001M6P,US,US,US,Reviewed
275,07/04/1982,01:20:07,27.929000000000002,136.967,Earthquake,536.0,,,7.1,MW,,,,,,1.0,USP0001N8W,US,US,NC,Reviewed
276,11/25/2013,07:21:18,-53.8708,-53.9107,Earthquake,14.83,3.1,,6.0,MWC,,,58.0,3.346,,0.76,USB000L633,US,US,GCMT,Reviewed
277,11/05/2009,07:12:32,12.107999999999999,45.907,Earthquake,10.0,,157.0,5.6,MWC,,,25.4,,,1.08,USP000H3RZ,US,US,US,Reviewed
278,12/13/1982,09:12:48,14.700999999999999,44.379,Earthquake,5.0,,,6.3,MW,,,,,,,USP0001REB,US,SPE,NC,Reviewed
279,12/22/1982,15:40:13,46.05,-27.588,Earthquake,10.0,,,5.5,MS,,9.0,,,,1.0,USP0001RNB,US,US,US,Reviewed
280,01/22/1983,12:41:55,45.223,7.164,Earthquake,10.0,,,5.5,MB,,1.0,,,,0.8,USP0001SG7,US,US,US,Reviewed
281,01/24/1983,16:34:08,39.74,-14.484000000000002,Earthquake,33.0,,,5.8,MB,,69.0,,,,1.3,USP0001SJJ,US,US,US,Reviewed
