,DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
1409,00:20.4,14.944,-61.273999999999994,156.0,7.4,Mw,663.0,,,0.74,NEI,2007112940.0
1410,55:15.8,-39.010999999999996,178.291,20.0,6.6,Mw,461.0,,,1.38,NEI,2007122040.0
1411,14:20.2,37.216,22.693,75.0,6.2,Mw,640.0,,,1.22,NEI,2008010640.0
1412,26:45.5,32.288000000000004,85.166,10.0,6.4,Mw,485.0,,,0.89,NEI,2008010940.0
1413,01:30.0,-20.166,-70.03699999999999,35.0,6.3,Mw,375.0,,,0.87,NEI,2008020440.0
1414,58:46.1,-8.158,128.644,19.0,6.2,Mw,370.0,,,0.93,NEI,2008021340.0
1415,46:18.2,77.079,18.570999999999998,12.0,6.1,Mw,637.0,,,0.81,NEI,2008022140.0
1416,16:02.7,41.153,-114.867,6.7,6.0,Mw,518.0,,,0.0,REN,2008022141.0
1417,57:20.5,-57.335,-23.433000000000003,14.0,6.8,Mw,338.0,,,1.12,NEI,2008022340.0
1418,32:57.9,35.49,81.467,10.0,7.2,Mw,532.0,,,1.03,NEI,2008032040.0
1419,30:12.6,-55.663999999999994,158.453,16.0,7.1,Mw,541.0,,,0.99,NEI,2008041240.0
1420,51:29.7,12.515999999999998,143.181,76.0,6.8,Mw,330.0,,,0.96,NEI,2008050940.0
1421,11:02.5,31.214000000000002,103.618,10.0,6.1,Mw,367.0,,,1.13,NEI,2008051241.0
1422,26:45.0,1.64,99.147,10.0,6.0,Mw,300.0,,,1.01,NEI,2008051940.0
1423,49:17.3,32.756,105.494,6.0,6.0,Mw,449.0,,,0.96,NEI,2008080540.0
1424,04:27.9,-8.1,120.23100000000001,14.0,6.0,Mw,130.0,,,0.89,NEI,2008060340.0
1425,16:46.9,-38.844,-91.62299999999999,10.0,6.0,Mw,143.0,,,0.97,NEI,2008060540.0
1426,25:29.7,37.963,21.525,16.0,6.4,Mw,706.0,,,1.49,NEI,2008060840.0
1427,37:17.2,-36.623000000000005,-107.45,10.0,6.0,Mw,252.0,,,0.91,NEI,2008061540.0
1428,56:30.0,67.69800000000001,141.276,18.0,6.1,Mw,605.0,,,0.86,NEI,2008062240.0
1429,40:14.0,11.005,91.824,17.0,6.6,Mw,630.0,,,0.85,NEI,2008062740.0
1430,53:04.9,45.156000000000006,137.446,326.0,6.0,Mw,605.0,,,0.88,NEI,2008062940.0
1431,17:43.0,-58.227,-22.099,8.0,7.0,Mw,309.0,,,1.36,NEI,2008063040.0
1432,12:04.5,53.882,152.886,632.8,7.7,Mw,777.0,,,0.83,NEI,2008070540.0
1433,58:33.0,21.014,121.149,14.0,6.2,Mw,243.0,,,1.17,NEI,2008071340.0
1434,26:34.7,35.8,27.86,52.0,6.4,Mw,774.0,,,1.35,NEI,2008071540.0
